gene	chr	pos
DDOST	1	20981977
ALDH3A2	17	19552419
LRP10	14	23341460
THOC5	22	29904451
WDR1	4	10084702
SEMA5A	5	9197367
CDIPT	16	29870585
PLEC	8	144994218
INPPL1	11	71948807
HIP1R	12	123338615
TSC2	16	2111901
SLC1A5	19	47291139
RPL14	3	40500142
TBRG4	7	45145301
TNS3	7	47409142
KDM5A	12	498141
ASNA1	19	12856510
MICAL3	22	18383726
ARHGEF10L	1	18023410
RRNAD1	1	156698896
FHL2	2	106002833
ACY1	3	52018115
CBLB	3	105377865
TSPAN14	10	82269071
ANO1	11	70011626
ME3	11	86158236
LRRC23	12	6993619
ANPEP	15	90346976
PRSS22	16	2903044
CACNG4	17	64961105
RPN2	20	35827571
DRAXIN	1	11756605
TMCO4	1	20009783
HIAT1	1	100533708
NOTCH2	1	120458033
NOTCH2	1	120462024
ADAM15	1	155029446
LMNA	1	156084968
ISG20L2	1	156691940
PRCC	1	156737506
ERCC3	2	128044418
GALNT5	2	158114988
ICA1L	2	203705501
CLPTM1L	5	1321776
PHF15	5	133900297
TMCO6	5	140022001
HIVEP2	6	143094725
CHRAC1	8	141521670
RECQL4	8	145741970
DOCK8	9	379811
S1PR3	9	91616511
NACC2	9	138903608
RNF224	9	140123074
SVIL	10	29984568
AMPD3	11	10483213
PLEKHA7	11	16812637
PRPF19	11	60668774
CAPN1	11	64955461
LRP5	11	68115394
BIRC2	11	102221092
CHD4	12	6702280
SLC2A3	12	8075486
FGFR1OP2	12	27098756
ASB8	12	48543126
ELK3	12	96588480
IPO5	13	98645173
SOCS4	14	55506340
TRMT61A	14	104001810
SPRED1	15	38644003
WDR61	15	78585035
MESDC2	15	81270958
DUS2	16	68100525
RP11-81K2.1	17	47489053
CBLC	19	45287593
SLC1A5	19	47291684
MYH14	19	50753017
EMC10	19	50986036
KLK8	19	51503353
GID8	20	61574469
ZNF512B	20	62590851
MCTS1	23	119739295
NOC2L	1	889462
B3GALT6	1	1168642
PLCH2	1	2434222
FAM213B	1	2520968
TTC34	1	2702415
KCNAB2	1	6155657
SLC45A1	1	8378223
RERE	1	8413080
RERE	1	8872667
ENO1	1	8925357
SPSB1	1	9369499
PIK3CD	1	9733479
